tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2017-02-17,Sistema Interligado Nacional,"225,46","3.589,52","10.760,57",,,
Termica,2017-02-18,Norte,"15,23","463,95","1.398,78",,,
Termica,2017-02-18,Nordeste,"62,58","1.138,95","3.144,68",,,
Termica,2017-02-18,Sul,"22,01","331,00","881,04",,,
Termica,2017-02-18,Sudeste/Centro-Oeste,"99,80","1.855,25","5.535,69",,,
Termica,2017-02-18,Sistema Interligado Nacional,"199,63","3.789,15","10.960,20",,,
Termica,2017-02-19,Norte,"14,46","478,41","1.413,24",,,
Termica,2017-02-19,Nordeste,"50,93","1.189,88","3.195,62",,,
Termica,2017-02-19,Sul,"23,32","354,32","904,36",,,
Termica,2017-02-19,Sudeste/Centro-Oeste,"101,66","1.956,91","5.637,35",,,
Termica,2017-02-19,Sistema Interligado Nacional,"190,37","3.979,52","11.150,57",,,
Termica,2017-02-20,Norte,"17,13","495,54","1.430,37",,,
Termica,2017-02-20,Nordeste,"62,21","1.252,09","3.257,83",,,
Termica,2017-02-20,Sul,"25,37","379,68","929,73",,,
Termica,2017-02-20,Sudeste/Centro-Oeste,"99,32","2.056,24","5.736,68",,,
Termica,2017-02-20,Sistema Interligado Nacional,"204,03","4.183,55","11.354,60",,,
Termica,2017-02-21,Norte,"16,67","512,21","1.447,04",,,
Termica,2017-02-21,Nordeste,"64,88","1.316,97","3.322,71",,,
Termica,2017-02-21,Sul,"21,20","400,88","950,92",,,
Termica,2017-02-21,Sudeste/Centro-Oeste,"119,75","2.175,99","5.856,43",,,
Termica,2017-02-21,Sistema Interligado Nacional,"222,50","4.406,05","11.577,10",,,
Termica,2017-02-22,Norte,"14,42","526,63","1.461,46",,,
Termica,2017-02-22,Nordeste,"56,34","1.373,31","3.379,05",,,
Termica,2017-02-22,Sul,"20,04","420,92","970,96",,,
Termica,2017-02-22,Sudeste/Centro-Oeste,"124,49","2.300,48","5.980,92",,,
Termica,2017-02-22,Sistema Interligado Nacional,"215,29","4.621,34","11.792,39",,,
Termica,2017-02-23,Norte,"14,62","541,25","1.476,08",,,
Termica,2017-02-23,Nordeste,"56,35","1.429,66","3.435,40",,,
Termica,2017-02-23,Sul,"20,03","440,96","991,00",,,
Termica,2017-02-23,Sudeste/Centro-Oeste,"134,07","2.434,55","6.114,99",,,
Termica,2017-02-23,Sistema Interligado Nacional,"225,07","4.846,42","12.017,46",,,
Termica,2017-02-24,Norte,"14,82","556,07","1.490,90",,,
Termica,2017-02-24,Nordeste,"63,47","1.493,13","3.498,87",,,
Termica,2017-02-24,Sul,"17,36","458,31","1.008,35",,,
Termica,2017-02-24,Sudeste/Centro-Oeste,"164,72","2.599,27","6.279,71",,,
Termica,2017-02-24,Sistema Interligado Nacional,"260,37","5.106,78","12.277,83",,,
Termica,2017-02-25,Norte,"14,36","570,43","1.505,26",,,
Termica,2017-02-25,Nordeste,"67,44","1.560,56","3.566,30",,,
Termica,2017-02-25,Sul,"14,18","472,50","1.022,54",,,
Termica,2017-02-25,Sudeste/Centro-Oeste,"159,36","2.758,63","6.439,07",,,
Termica,2017-02-25,Sistema Interligado Nacional,"255,34","5.362,12","12.533,17",,,
Termica,2017-02-26,Norte,"17,97","588,40","1.523,23",,,
Termica,2017-02-26,Nordeste,"64,32","1.624,88","3.630,62",,,
Termica,2017-02-26,Sul,"12,18","484,68","1.034,72",,,
Termica,2017-02-26,Sudeste/Centro-Oeste,"160,16","2.918,78","6.599,22",,,
Termica,2017-02-26,Sistema Interligado Nacional,"254,63","5.616,75","12.787,80",,,
Termica,2017-02-27,Norte,"20,23","608,63","1.543,46",,,
Termica,2017-02-27,Nordeste,"64,15","1.689,03","3.694,77",,,
Termica,2017-02-27,Sul,"18,83","503,51","1.053,55",,,
Termica,2017-02-27,Sudeste/Centro-Oeste,"160,30","3.079,08","6.759,52",,,
Termica,2017-02-27,Sistema Interligado Nacional,"263,51","5.880,26","13.051,31",,,
Termica,2017-02-28,Norte,"20,77","629,41","1.564,24",,,
Termica,2017-02-28,Nordeste,"63,31","1.752,35","3.758,09",,,
