data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
2005-08-29,SIN,1.142,31.474,263.438,,,
2005-08-30,SE/CO,752,20.453,164.408,,,
2005-08-30,S,190,5.228,44.139,,,
2005-08-30,NE,166,4.724,38.320,,,
2005-08-30,N,77,2.255,17.756,,,
2005-08-30,SIN,1.185,32.660,264.623,,,
2005-08-31,SE/CO,750,21.203,165.158,,,
2005-08-31,S,189,5.414,44.324,,,
2005-08-31,NE,166,4.889,38.485,,,
2005-08-31,N,77,2.332,17.833,,,
2005-08-31,SIN,1.182,33.838,265.802,,,
2005-09-01,SE/CO,734,734,165.892,,,
2005-09-01,S,189,189,44.513,,,
2005-09-01,NE,165,165,38.650,,,
2005-09-01,N,77,77,17.910,,,
2005-09-01,SIN,1.165,1.165,266.966,,,
2005-09-02,SE/CO,717,1.452,166.610,,,
2005-09-02,S,180,369,44.693,,,
2005-09-02,NE,166,331,38.817,,,
2005-09-02,N,77,154,17.987,,,
2005-09-02,SIN,1.141,2.305,268.107,,,
2005-09-03,SE/CO,650,2.101,167.260,,,
2005-09-03,S,158,526,44.850,,,
2005-09-03,NE,157,488,38.974,,,
2005-09-03,N,75,229,18.061,,,
2005-09-03,SIN,1.039,3.344,269.146,,,
2005-09-04,SE/CO,588,2.689,167.848,,,
2005-09-04,S,136,662,44.986,,,
2005-09-04,NE,144,632,39.117,,,
2005-09-04,N,72,300,18.133,,,
2005-09-04,SIN,939,4.284,270.086,,,
2005-09-05,SE/CO,704,3.393,168.551,,,
2005-09-05,S,178,840,45.172,,,
2005-09-05,NE,163,795,39.280,,,
2005-09-05,N,77,378,18.211,,,
2005-09-05,SIN,1.122,5.406,271.215,,,
2005-09-06,SE/CO,715,4.108,169.266,,,
2005-09-06,S,181,1.021,45.353,,,
2005-09-06,NE,167,962,39.447,,,
2005-09-06,N,77,455,18.288,,,
2005-09-06,SIN,1.140,6.546,272.355,,,
2005-09-07,SE/CO,616,4.725,169.883,,,
2005-09-07,S,147,1.168,45.500,,,
2005-09-07,NE,151,1.113,39.598,,,
2005-09-07,N,73,528,18.361,,,
2005-09-07,SIN,987,7.534,273.343,,,
2005-09-08,SE/CO,687,5.411,170.570,,,
2005-09-08,S,177,1.346,45.677,,,
2005-09-08,NE,165,1.278,39.763,,,
2005-09-08,N,76,605,18.437,,,
2005-09-08,SIN,1.106,8.639,274.448,,,
2005-09-09,SE/CO,705,6.116,171.275,,,
2005-09-09,S,183,1.529,45.860,,,
2005-09-09,NE,167,1.445,39.931,,,
2005-09-09,N,77,682,18.515,,,
2005-09-09,SIN,1.133,9.772,275.581,,,
2005-09-10,SE/CO,649,6.765,171.924,,,
2005-09-10,S,162,1.691,46.022,,,
2005-09-10,NE,157,1.603,40.088,,,
2005-09-10,N,75,757,18.590,,,
2005-09-10,SIN,1.044,10.816,276.625,,,
2005-09-11,SE/CO,601,7.366,172.524,,,
2005-09-11,S,136,1.827,46.159,,,
2005-09-11,NE,144,1.746,40.232,,,
2005-09-11,N,72,829,18.662,,,
2005-09-11,SIN,953,11.769,277.578,,,
2005-09-12,SE/CO,705,8.071,173.229,,,
2005-09-12,S,180,2.007,46.339,,,
2005-09-12,NE,165,1.911,40.396,,,
2005-09-12,N,77,906,18.739,,,
2005-09-12,SIN,1.127,12.895,278.704,,,
2005-09-13,SE/CO,706,8.778,173.936,,,
2005-09-13,S,186,2.194,46.525,,,
2005-09-13,NE,167,2.078,40.563,,,
2005-09-13,N,77,983,18.816,,,
2005-09-13,SIN,1.137,14.033,279.841,,,
2005-09-14,SE/CO,706,9.483,174.642,,,
2005-09-14,S,188,2.382,46.713,,,
2005-09-14,NE,168,2.245,40.731,,,
2005-09-14,N,77,1.061,18.894,,,
2005-09-14,SIN,1.139,15.171,280.980,,,
2005-09-15,SE/CO,707,10.191,175.349,,,
2005-09-15,S,188,2.569,46.901,,,
2005-09-15,NE,165,2.411,40.896,,,
2005-09-15,N,77,1.138,18.971,,,
2005-09-15,SIN,1.137,16.308,282.117,,,
2005-09-16,SE/CO,720,10.910,176.069,,,
2005-09-16,S,187,2.756,47.087,,,
2005-09-16,NE,165,2.576,41.061,,,
2005-09-16,N,77,1.215,19.048,,,
2005-09-16,SIN,1.149,17.457,283.266,,,
2005-09-17,SE/CO,654,11.564,176.723,,,
2005-09-17,S,163,2.919,47.251,,,
2005-09-17,NE,158,2.734,41.220,,,
2005-09-17,N,75,1.290,19.123,,,
2005-09-17,SIN,1.051,18.508,284.317,,,
2005-09-18,SE/CO,580,12.144,177.303,,,
2005-09-18,S,136,3.056,47.387,,,
2005-09-18,NE,145,2.879,41.365,,,
2005-09-18,N,73,1.363,19.196,,,
2005-09-18,SIN,934,19.442,285.251,,,
2005-09-19,SE/CO,694,12.838,177.997,,,
2005-09-19,S,174,3.230,47.561,,,
2005-09-19,NE,166,3.045,41.530,,,
2005-09-19,N,78,1.441,19.274,,,
2005-09-19,SIN,1.112,20.554,286.363,,,
2005-09-20,SE/CO,711,13.549,178.707,,,
2005-09-20,S,174,3.404,47.735,,,
2005-09-20,NE,170,3.215,41.700,,,
2005-09-20,N,77,1.518,19.351,,,
2005-09-20,SIN,1.131,21.686,287.495,,,
2005-09-21,SE/CO,708,14.257,179.415,,,
2005-09-21,S,186,3.590,47.921,,,
2005-09-21,NE,171,3.386,41.871,,,
2005-09-21,N,78,1.596,19.429,,,
2005-09-21,SIN,1.142,22.828,288.637,,,
2005-09-22,SE/CO,707,14.964,180.122,,,
2005-09-22,S,189,3.779,48.110,,,
2005-09-22,NE,171,3.556,42.042,,,
2005-09-22,N,78,1.674,19.507,,,
2005-09-22,SIN,1.145,23.973,289.782,,,
2005-09-23,SE/CO,709,15.673,180.832,,,
2005-09-23,S,186,3.965,48.297,,,
2005-09-23,NE,170,3.726,42.212,,,
2005-09-23,N,78,1.752,19.584,,,
2005-09-23,SIN,1.143,25.117,290.926,,,
2005-09-24,SE/CO,657,16.330,181.489,,,
2005-09-24,S,165,4.130,48.461,,,
2005-09-24,NE,162,3.889,42.374,,,
2005-09-24,N,75,1.827,19.659,,,
2005-09-24,SIN,1.059,26.176,291.985,,,
2005-09-25,SE/CO,588,16.918,182.076,,,
2005-09-25,S,136,4.266,48.598,,,
2005-09-25,NE,147,4.036,42.522,,,
2005-09-25,N,72,1.899,19.732,,,
2005-09-25,SIN,944,27.119,292.928,,,
2005-09-26,SE/CO,679,17.597,182.756,,,
2005-09-26,S,176,4.442,48.773,,,
2005-09-26,NE,169,4.205,42.691,,,
2005-09-26,N,74,1.973,19.805,,,
2005-09-26,SIN,1.098,28.217,294.026,,,
2005-09-27,SE/CO,680,18.277,183.436,,,
2005-09-27,S,183,4.625,48.956,,,
2005-09-27,NE,173,4.379,42.864,,,
2005-09-27,N,77,2.049,19.882,,,
2005-09-27,SIN,1.113,29.330,295.139,,,
2005-09-28,SE/CO,678,18.955,184.114,,,
2005-09-28,S,185,4.810,49.141,,,
2005-09-28,NE,172,4.550,43.036,,,
2005-09-28,N,77,2.127,19.960,,,
2005-09-28,SIN,1.112,30.442,296.251,,,
2005-09-29,SE/CO,684,19.639,184.798,,,
2005-09-29,S,186,4.995,49.327,,,
2005-09-29,NE,172,4.722,43.208,,,
2005-09-29,N,78,2.205,20.037,,,
2005-09-29,SIN,1.119,31.561,297.370,,,
2005-09-30,SE/CO,692,20.333,185.492,,,
2005-09-30,S,188,5.184,49.515,,,
2005-09-30,NE,172,4.894,43.380,,,
2005-09-30,N,78,2.282,20.115,,,
2005-09-30,SIN,1.130,32.693,298.502,,,
2005-10-01,SE/CO,645,645,186.135,,,
2005-10-01,S,163,163,49.678,,,
2005-10-01,NE,162,162,43.542,,,
2005-10-01,N,75,75,20.190,,,
2005-10-01,SIN,1.045,1.045,299.546,,,
2005-10-02,SE/CO,578,1.223,186.714,,,
2005-10-02,S,139,302,49.818,,,
2005-10-02,NE,148,310,43.690,,,
2005-10-02,N,73,148,20.263,,,
2005-10-02,SIN,939,1.984,300.485,,,
2005-10-03,SE/CO,689,1.912,187.402,,,
2005-10-03,S,185,487,50.003,,,
2005-10-03,NE,169,480,43.859,,,
2005-10-03,N,77,226,20.341,,,
2005-10-03,SIN,1.120,3.105,301.605,,,
2005-10-04,SE/CO,723,2.635,188.125,,,
2005-10-04,S,193,680,50.195,,,
2005-10-04,NE,170,650,44.030,,,
2005-10-04,N,77,302,20.417,,,
2005-10-04,SIN,1.163,4.268,302.768,,,
2005-10-05,SE/CO,732,3.367,188.857,,,
2005-10-05,S,189,870,50.385,,,
2005-10-05,NE,172,822,44.201,,,
2005-10-05,N,77,379,20.494,,,
2005-10-05,SIN,1.169,5.437,303.937,,,
2005-10-06,SE/CO,727,4.094,189.584,,,
2005-10-06,S,186,1.055,50.571,,,
2005-10-06,NE,173,995,44.374,,,
2005-10-06,N,78,457,20.572,,,
2005-10-06,SIN,1.164,6.601,305.101,,,
2005-10-07,SE/CO,730,4.824,190.315,,,
2005-10-07,S,188,1.244,50.759,,,
2005-10-07,NE,174,1.168,44.548,,,
2005-10-07,N,77,533,20.648,,,
2005-10-07,SIN,1.168,7.769,306.270,,,
2005-10-08,SE/CO,678,5.502,190.993,,,
2005-10-08,S,165,1.408,50.924,,,
2005-10-08,NE,163,1.332,44.711,,,
2005-10-08,N,75,608,20.723,,,
2005-10-08,SIN,1.081,8.850,307.351,,,
2005-10-09,SE/CO,601,6.103,191.594,,,
2005-10-09,S,138,1.547,51.062,,,
2005-10-09,NE,149,1.480,44.860,,,
2005-10-09,N,72,680,20.795,,,
2005-10-09,SIN,960,9.810,308.311,,,
2005-10-10,SE/CO,707,6.811,192.301,,,
2005-10-10,S,185,1.732,51.248,,,
2005-10-10,NE,169,1.649,45.028,,,
2005-10-10,N,77,757,20.872,,,
