tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Hidraulica,2017-02-16,Sudeste/Centro-Oeste,"651,63","9.595,46","27.949,52",,,
Hidraulica,2017-02-16,Itaipu,"279,81","4.237,31","11.661,31",,,
Hidraulica,2017-02-17,Norte,"200,96","3.291,31","7.262,00",,,
Hidraulica,2017-02-17,Nordeste,"57,10","937,76","2.648,72",,,
Hidraulica,2017-02-17,Sul,"262,46","4.133,83","12.371,08",,,
Hidraulica,2017-02-17,Sudeste/Centro-Oeste,"665,97","10.261,43","28.615,49",,,
Hidraulica,2017-02-17,Itaipu,"265,55","4.502,87","11.926,86",,,
Hidraulica,2017-02-18,Norte,"221,49","3.512,80","7.483,49",,,
Hidraulica,2017-02-18,Nordeste,"55,70","993,46","2.704,42",,,
Hidraulica,2017-02-18,Sul,"218,09","4.351,93","12.589,17",,,
Hidraulica,2017-02-18,Sudeste/Centro-Oeste,"614,04","10.875,47","29.229,53",,,
Hidraulica,2017-02-18,Itaipu,"257,71","4.760,58","12.184,58",,,
Hidraulica,2017-02-19,Norte,"176,88","3.689,67","7.660,36",,,
Hidraulica,2017-02-19,Nordeste,"51,82","1.045,28","2.756,24",,,
Hidraulica,2017-02-19,Sul,"180,53","4.532,46","12.769,70",,,
Hidraulica,2017-02-19,Sudeste/Centro-Oeste,"567,39","11.442,86","29.796,92",,,
Hidraulica,2017-02-19,Itaipu,"248,15","5.008,73","12.432,73",,,
Hidraulica,2017-02-20,Norte,"219,21","3.908,88","7.879,57",,,
Hidraulica,2017-02-20,Nordeste,"54,03","1.099,31","2.810,28",,,
Hidraulica,2017-02-20,Sul,"270,46","4.802,92","13.040,16",,,
Hidraulica,2017-02-20,Sudeste/Centro-Oeste,"666,95","12.109,81","30.463,87",,,
Hidraulica,2017-02-20,Itaipu,"282,67","5.291,40","12.715,40",,,
Hidraulica,2017-02-21,Norte,"223,84","4.132,71","8.103,40",,,
Hidraulica,2017-02-21,Nordeste,"52,74","1.152,05","2.863,01",,,
Hidraulica,2017-02-21,Sul,"280,85","5.083,77","13.321,01",,,
Hidraulica,2017-02-21,Sudeste/Centro-Oeste,"645,92","12.755,73","31.109,79",,,
Hidraulica,2017-02-21,Itaipu,"269,52","5.560,93","12.984,92",,,
Hidraulica,2017-02-22,Norte,"225,04","4.357,76","8.328,45",,,
Hidraulica,2017-02-22,Nordeste,"49,91","1.201,96","2.912,92",,,
Hidraulica,2017-02-22,Sul,"278,44","5.362,21","13.599,45",,,
Hidraulica,2017-02-22,Sudeste/Centro-Oeste,"651,84","13.407,57","31.761,63",,,
Hidraulica,2017-02-22,Itaipu,"265,17","5.826,09","13.250,09",,,
Hidraulica,2017-02-23,Norte,"229,43","4.587,18","8.557,87",,,
