tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2006-01-24,S,29,715,715,,,
Termica,2006-01-24,NE,6,108,108,,,
Termica,2006-01-24,N,0,0,0,,,
Termica,2006-01-24,SIN,74,1.626,1.626,,,
Termica,2006-01-25,SE/CO,41,844,844,,,
Termica,2006-01-25,S,29,745,745,,,
Termica,2006-01-25,NE,6,114,114,,,
Termica,2006-01-25,N,0,0,0,,,
Termica,2006-01-25,SIN,77,1.703,1.703,,,
Termica,2006-01-26,SE/CO,40,884,884,,,
Termica,2006-01-26,S,30,774,774,,,
Termica,2006-01-26,NE,6,120,120,,,
Termica,2006-01-26,N,0,0,0,,,
Termica,2006-01-26,SIN,76,1.778,1.778,,,
Termica,2006-01-27,SE/CO,43,927,927,,,
Termica,2006-01-27,S,31,805,805,,,
Termica,2006-01-27,NE,6,127,127,,,
Termica,2006-01-27,N,0,0,0,,,
Termica,2006-01-27,SIN,81,1.859,1.859,,,
Termica,2006-01-28,SE/CO,35,962,962,,,
Termica,2006-01-28,S,28,834,834,,,
Termica,2006-01-28,NE,1,128,128,,,
Termica,2006-01-28,N,0,0,0,,,
Termica,2006-01-28,SIN,64,1.923,1.923,,,
Termica,2006-01-29,SE/CO,44,1.006,1.006,,,
Termica,2006-01-29,S,28,862,862,,,
Termica,2006-01-29,NE,0,128,128,,,
Termica,2006-01-29,N,0,0,0,,,
Termica,2006-01-29,SIN,72,1.995,1.995,,,
Termica,2006-01-30,SE/CO,46,1.052,1.052,,,
Termica,2006-01-30,S,30,892,892,,,
Termica,2006-01-30,NE,0,129,129,,,
Termica,2006-01-30,N,0,0,0,,,
Termica,2006-01-30,SIN,77,2.073,2.073,,,
Termica,2006-01-31,SE/CO,69,1.121,1.121,,,
Termica,2006-01-31,S,31,923,923,,,
Termica,2006-01-31,NE,0,129,129,,,
Termica,2006-01-31,N,0,0,0,,,
Termica,2006-01-31,SIN,100,2.173,2.173,,,
Termica,2006-02-01,SE/CO,74,74,1.195,,,
Termica,2006-02-01,S,30,30,953,,,
Termica,2006-02-01,NE,1,1,130,,,
Termica,2006-02-01,N,0,0,0,,,
Termica,2006-02-01,SIN,105,105,2.278,,,
Termica,2006-02-02,SE/CO,74,148,1.269,,,
Termica,2006-02-02,S,28,58,981,,,
Termica,2006-02-02,NE,6,7,136,,,
Termica,2006-02-02,N,0,0,0,,,
Termica,2006-02-02,SIN,108,213,2.387,,,
Termica,2006-02-03,SE/CO,72,220,1.341,,,
Termica,2006-02-03,S,28,86,1.010,,,
Termica,2006-02-03,NE,6,14,143,,,
Termica,2006-02-03,N,0,0,0,,,
Termica,2006-02-03,SIN,107,320,2.493,,,
Termica,2006-02-04,SE/CO,63,283,1.404,,,
Termica,2006-02-04,S,28,115,1.038,,,
Termica,2006-02-04,NE,6,20,149,,,
Termica,2006-02-04,N,0,0,0,,,
Termica,2006-02-04,SIN,98,418,2.592,,,
Termica,2006-02-05,SE/CO,60,344,1.464,,,
Termica,2006-02-05,S,29,144,1.067,,,
Termica,2006-02-05,NE,6,27,156,,,
Termica,2006-02-05,N,0,0,0,,,
Termica,2006-02-05,SIN,95,514,2.687,,,
Termica,2006-02-06,SE/CO,60,403,1.524,,,
Termica,2006-02-06,S,30,174,1.097,,,
Termica,2006-02-06,NE,6,33,162,,,
Termica,2006-02-06,N,0,0,0,,,
Termica,2006-02-06,SIN,96,610,2.783,,,
Termica,2006-02-07,SE/CO,63,466,1.587,,,
Termica,2006-02-07,S,32,206,1.129,,,
Termica,2006-02-07,NE,6,40,169,,,
Termica,2006-02-07,N,0,0,0,,,
Termica,2006-02-07,SIN,102,712,2.885,,,
Termica,2006-02-08,SE/CO,52,518,1.639,,,
Termica,2006-02-08,S,27,232,1.156,,,
Termica,2006-02-08,NE,1,40,169,,,
Termica,2006-02-08,N,0,0,0,,,
Termica,2006-02-08,SIN,79,791,2.964,,,
Termica,2006-02-09,SE/CO,53,572,1.692,,,
Termica,2006-02-09,S,29,261,1.184,,,
Termica,2006-02-09,NE,3,43,173,,,
Termica,2006-02-09,N,0,0,0,,,
Termica,2006-02-09,SIN,86,876,3.049,,,
Termica,2006-02-10,SE/CO,58,629,1.750,,,
Termica,2006-02-10,S,30,291,1.214,,,
Termica,2006-02-10,NE,4,48,177,,,
Termica,2006-02-10,N,0,0,0,,,
Termica,2006-02-10,SIN,91,968,3.141,,,
Termica,2006-02-11,SE/CO,63,692,1.813,,,
Termica,2006-02-11,S,30,321,1.244,,,
Termica,2006-02-11,NE,3,51,180,,,
Termica,2006-02-11,N,0,0,0,,,
Termica,2006-02-11,SIN,96,1.064,3.237,,,
Termica,2006-02-12,SE/CO,59,751,1.872,,,
Termica,2006-02-12,S,30,351,1.274,,,
Termica,2006-02-12,NE,0,52,181,,,
Termica,2006-02-12,N,0,0,0,,,
Termica,2006-02-12,SIN,90,1.154,3.327,,,
Termica,2006-02-13,SE/CO,62,813,1.934,,,
Termica,2006-02-13,S,34,385,1.308,,,
Termica,2006-02-13,NE,2,54,183,,,
Termica,2006-02-13,N,0,0,0,,,
Termica,2006-02-13,SIN,98,1.251,3.425,,,
Termica,2006-02-14,SE/CO,41,854,1.974,,,
Termica,2006-02-14,S,33,418,1.341,,,
Termica,2006-02-14,NE,2,56,185,,,
Termica,2006-02-14,N,0,0,0,,,
Termica,2006-02-14,SIN,76,1.328,3.501,,,
Termica,2006-02-15,SE/CO,52,906,2.026,,,
Termica,2006-02-15,S,33,451,1.375,,,
Termica,2006-02-15,NE,4,60,189,,,
Termica,2006-02-15,N,0,0,0,,,
Termica,2006-02-15,SIN,89,1.417,3.590,,,
Termica,2006-02-16,SE/CO,61,968,2.088,,,
Termica,2006-02-16,S,33,484,1.407,,,
Termica,2006-02-16,NE,4,64,193,,,
Termica,2006-02-16,N,0,0,0,,,
Termica,2006-02-16,SIN,99,1.515,3.688,,,
Termica,2006-02-17,SE/CO,61,1.029,2.149,,,
Termica,2006-02-17,S,33,517,1.440,,,
Termica,2006-02-17,NE,4,68,198,,,
Termica,2006-02-17,N,0,0,0,,,
Termica,2006-02-17,SIN,99,1.614,3.787,,,
Termica,2006-02-18,SE/CO,60,1.089,2.209,,,
Termica,2006-02-18,S,33,550,1.473,,,
Termica,2006-02-18,NE,4,73,202,,,
Termica,2006-02-18,N,0,0,0,,,
Termica,2006-02-18,SIN,97,1.711,3.884,,,
Termica,2006-02-19,SE/CO,60,1.149,2.270,,,
Termica,2006-02-19,S,36,585,1.509,,,
Termica,2006-02-19,NE,1,73,202,,,
Termica,2006-02-19,N,0,0,0,,,
Termica,2006-02-19,SIN,96,1.808,3.981,,,
Termica,2006-02-20,SE/CO,53,1.202,2.322,,,
Termica,2006-02-20,S,29,614,1.538,,,
Termica,2006-02-20,NE,1,74,204,,,
Termica,2006-02-20,N,0,0,0,,,
Termica,2006-02-20,SIN,83,1.891,4.064,,,
Termica,2006-02-21,SE/CO,58,1.261,2.381,,,
Termica,2006-02-21,S,27,642,1.566,,,
Termica,2006-02-21,NE,2,76,205,,,
Termica,2006-02-21,N,0,0,0,,,
Termica,2006-02-21,SIN,87,1.979,4.152,,,
Termica,2006-02-22,SE/CO,71,1.332,2.452,,,
Termica,2006-02-22,S,26,668,1.591,,,
Termica,2006-02-22,NE,2,78,207,,,
Termica,2006-02-22,N,0,0,0,,,
Termica,2006-02-22,SIN,99,2.077,4.250,,,
Termica,2006-02-23,SE/CO,72,1.404,2.524,,,
Termica,2006-02-23,S,29,696,1.620,,,
Termica,2006-02-23,NE,3,81,210,,,
Termica,2006-02-23,N,0,0,0,,,
Termica,2006-02-23,SIN,104,2.181,4.354,,,
Termica,2006-02-24,SE/CO,67,1.471,2.592,,,
Termica,2006-02-24,S,30,727,1.650,,,
Termica,2006-02-24,NE,4,85,214,,,
Termica,2006-02-24,N,0,0,0,,,
Termica,2006-02-24,SIN,102,2.283,4.456,,,
Termica,2006-02-25,SE/CO,64,1.536,2.656,,,
Termica,2006-02-25,S,24,750,1.674,,,
Termica,2006-02-25,NE,4,89,218,,,
Termica,2006-02-25,N,0,0,0,,,
Termica,2006-02-25,SIN,92,2.375,4.548,,,
Termica,2006-02-26,SE/CO,66,1.602,2.722,,,
Termica,2006-02-26,S,28,778,1.702,,,
Termica,2006-02-26,NE,4,93,223,,,
Termica,2006-02-26,N,0,0,0,,,
Termica,2006-02-26,SIN,98,2.473,4.646,,,
Termica,2006-02-27,SE/CO,69,1.671,2.791,,,
Termica,2006-02-27,S,28,806,1.730,,,
Termica,2006-02-27,NE,4,98,227,,,
Termica,2006-02-27,N,0,0,0,,,
Termica,2006-02-27,SIN,101,2.575,4.748,,,
Termica,2006-02-28,SE/CO,70,1.740,2.861,,,
Termica,2006-02-28,S,29,835,1.759,,,
Termica,2006-02-28,NE,5,102,231,,,
Termica,2006-02-28,N,0,0,0,,,
Termica,2006-02-28,SIN,103,2.678,4.851,,,
Termica,2006-03-01,SE/CO,72,72,2.933,,,
Termica,2006-03-01,S,29,29,1.787,,,
Termica,2006-03-01,NE,5,5,237,,,
Termica,2006-03-01,N,0,0,0,,,
Termica,2006-03-01,SIN,106,106,4.957,,,
Termica,2006-03-02,SE/CO,74,146,3.007,,,
Termica,2006-03-02,S,29,58,1.816,,,
Termica,2006-03-02,NE,5,11,242,,,
Termica,2006-03-02,N,0,0,0,,,
Termica,2006-03-02,SIN,109,214,5.065,,,
Termica,2006-03-03,SE/CO,78,225,3.085,,,
Termica,2006-03-03,S,27,85,1.844,,,
Termica,2006-03-03,NE,5,16,247,,,
Termica,2006-03-03,N,0,0,0,,,
Termica,2006-03-03,SIN,111,326,5.176,,,
Termica,2006-03-04,SE/CO,71,296,3.157,,,
Termica,2006-03-04,S,29,114,1.873,,,
Termica,2006-03-04,NE,5,21,253,,,
Termica,2006-03-04,N,0,0,0,,,
Termica,2006-03-04,SIN,106,431,5.282,,,
Termica,2006-03-05,SE/CO,73,369,3.230,,,
Termica,2006-03-05,S,32,146,1.904,,,
Termica,2006-03-05,NE,5,27,258,,,
Termica,2006-03-05,N,0,0,0,,,
Termica,2006-03-05,SIN,110,541,5.392,,,
Termica,2006-03-06,SE/CO,75,444,3.305,,,
Termica,2006-03-06,S,30,176,1.935,,,
Termica,2006-03-06,NE,5,32,263,,,
Termica,2006-03-06,N,0,0,0,,,
Termica,2006-03-06,SIN,111,652,5.503,,,
Termica,2006-03-07,SE/CO,77,521,3.382,,,
Termica,2006-03-07,S,36,212,1.971,,,
Termica,2006-03-07,NE,0,32,264,,,
Termica,2006-03-07,N,0,0,0,,,
Termica,2006-03-07,SIN,114,766,5.616,,,
Termica,2006-03-08,SE/CO,69,590,3.451,,,
Termica,2006-03-08,S,34,247,2.005,,,
Termica,2006-03-08,NE,1,33,264,,,
Termica,2006-03-08,N,0,0,0,,,
Termica,2006-03-08,SIN,104,869,5.721,,,
Termica,2006-03-09,SE/CO,69,659,3.520,,,
Termica,2006-03-09,S,35,282,2.040,,,
Termica,2006-03-09,NE,1,33,265,,,
Termica,2006-03-09,N,0,0,0,,,
Termica,2006-03-09,SIN,104,974,5.825,,,
Termica,2006-03-10,SE/CO,69,728,3.589,,,
Termica,2006-03-10,S,36,317,2.076,,,
Termica,2006-03-10,NE,1,34,265,,,
Termica,2006-03-10,N,0,0,0,,,
Termica,2006-03-10,SIN,105,1.079,5.930,,,
Termica,2006-03-11,SE/CO,58,786,3.647,,,
Termica,2006-03-11,S,37,355,2.113,,,
Termica,2006-03-11,NE,3,37,268,,,
Termica,2006-03-11,N,0,0,0,,,
Termica,2006-03-11,SIN,98,1.177,6.029,,,
Termica,2006-03-12,SE/CO,52,838,3.699,,,
