tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Eolica,2017-02-17,Sistema Interligado Nacional,"67,53","1.296,24","3.949,88",,,
Eolica,2017-02-18,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-18,Nordeste,"41,80","1.125,35","3.397,15",,,
Eolica,2017-02-18,Sul,"5,79","218,48","600,32",,,
Eolica,2017-02-18,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-18,Sistema Interligado Nacional,"47,59","1.343,83","3.997,47",,,
Eolica,2017-02-19,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-19,Nordeste,"59,69","1.185,04","3.456,84",,,
Eolica,2017-02-19,Sul,"3,11","221,59","603,43",,,
Eolica,2017-02-19,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-19,Sistema Interligado Nacional,"62,80","1.406,63","4.060,27",,,
Eolica,2017-02-20,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-20,Nordeste,"60,33","1.245,37","3.517,17",,,
Eolica,2017-02-20,Sul,"6,20","227,79","609,63",,,
Eolica,2017-02-20,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-20,Sistema Interligado Nacional,"66,53","1.473,16","4.126,80",,,
Eolica,2017-02-21,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-21,Nordeste,"75,28","1.320,65","3.592,45",,,
Eolica,2017-02-21,Sul,"4,99","232,79","614,63",,,
Eolica,2017-02-21,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-21,Sistema Interligado Nacional,"80,28","1.553,44","4.207,08",,,
Eolica,2017-02-22,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-22,Nordeste,"87,92","1.408,57","3.680,37",,,
Eolica,2017-02-22,Sul,"2,70","235,49","617,33",,,
Eolica,2017-02-22,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-22,Sistema Interligado Nacional,"90,62","1.644,05","4.297,69",,,
Eolica,2017-02-23,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-23,Nordeste,"73,75","1.482,32","3.754,12",,,
Eolica,2017-02-23,Sul,"2,87","238,36","620,20",,,
Eolica,2017-02-23,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-23,Sistema Interligado Nacional,"76,62","1.720,67","4.374,31",,,
Eolica,2017-02-24,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-24,Nordeste,"69,99","1.552,31","3.824,11",,,
Eolica,2017-02-24,Sul,"1,43","239,79","621,63",,,
Eolica,2017-02-24,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-24,Sistema Interligado Nacional,"71,42","1.792,10","4.445,74",,,
Eolica,2017-02-25,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-25,Nordeste,"61,95","1.614,26","3.886,06",,,
Eolica,2017-02-25,Sul,"1,90","241,68","623,52",,,
Eolica,2017-02-25,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-25,Sistema Interligado Nacional,"63,84","1.855,94","4.509,58",,,
Eolica,2017-02-26,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-26,Nordeste,"45,66","1.659,91","3.931,72",,,
Eolica,2017-02-26,Sul,"5,96","247,65","629,49",,,
Eolica,2017-02-26,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-26,Sistema Interligado Nacional,"51,62","1.907,56","4.561,20",,,
Eolica,2017-02-27,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-27,Nordeste,"55,45","1.715,36","3.987,16",,,
Eolica,2017-02-27,Sul,"9,76","257,41","639,25",,,
Eolica,2017-02-27,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-27,Sistema Interligado Nacional,"65,21","1.972,77","4.626,41",,,
Eolica,2017-02-28,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-28,Nordeste,"51,35","1.766,72","4.038,52",,,
Eolica,2017-02-28,Sul,"5,72","263,13","644,97",,,
Eolica,2017-02-28,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-28,Sistema Interligado Nacional,"57,07","2.029,84","4.683,48",,,
Eolica,2017-03-01,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-01,Nordeste,"42,07","42,07","4.080,59",,,
Eolica,2017-03-01,Sul,"5,42","5,42","650,38",,,
Eolica,2017-03-01,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
